Date,Timestamp,Open,High,Low,Close,Volume
20040312,12:00:00,7.157,7.244,6.752,6.929,74.30000111
20040312,16:00:00,6.833,7.058,6.795,6.919,33.7500005
20040314,20:00:00,6.975,6.975,6.883,6.919,0.200000003
20040315,0:00:00,7.014,7.11,6.887,7.048,23.70000035
20040315,4:00:00,7.027,7.135,6.915,7.034,48.10000072
20040315,8:00:00,7.099,7.151,6.903,7.032,17.90000027
20040315,12:00:00,7.037,7.156,6.889,7.035,48.05000072
20040315,16:00:00,7.082,7.168,6.915,7.013,29.35000044
20040315,20:00:00,7.017,7.083,6.973,7.046,0.900000013
20040316,0:00:00,7.065,7.134,6.938,6.985,23.80000035
20040316,4:00:00,6.989,7.138,6.927,7.034,40.90000061
20040316,8:00:00,7.034,7.205,6.941,7.103,14.60000022
20040316,12:00:00,7.085,7.21,6.924,7.064,67.400001
20040316,16:00:00,7.031,7.207,6.935,7.054,37.10000055
20040316,20:00:00,7.063,7.126,6.99,7.026,0.600000009
20040317,0:00:00,6.996,7.146,6.958,7.128,10.85000016
20040317,4:00:00,7.1,7.199,6.971,7.063,9.550000142
20040317,8:00:00,7.073,7.173,6.961,7.045,12.60000019
20040317,12:00:00,7.097,7.229,6.912,7.137,49.10000073
20040317,16:00:00,7.025,7.219,6.931,7.147,40.4000006
20040317,20:00:00,7.182,7.213,7.103,7.139,0.900000013
20040318,0:00:00,7.183,7.247,7.005,7.194,21.60000032
20040318,4:00:00,7.187,7.267,7.013,7.179,25.30000038
20040318,8:00:00,7.194,7.278,7.058,7.137,14.85000022
20040318,12:00:00,7.159,7.38,7.055,7.341,56.15000084
20040318,16:00:00,7.251,7.448,7.188,7.329,50.65000075
20040318,20:00:00,7.385,7.385,7.263,7.263,0.850000013
20040319,0:00:00,7.365,7.42,7.214,7.311,11.35000017
20040319,4:00:00,7.256,7.409,7.23,7.397,9.800000146
20040319,8:00:00,7.373,7.431,7.214,7.406,9.300000139
20040319,12:00:00,7.296,7.685,7.211,7.403,67.300001
20040319,16:00:00,7.272,7.534,7.212,7.439,46.40000069
20040322,0:00:00,7.484,7.533,7.328,7.41,15.00000022
